venue,title,abstract,doi,is_msr,msr_reason,has_causal,causal_type,causal_reason,is_empirical,empirical_reason,correct,reason
ASE 2025,Verification and Classification of Exploits for Node.js Vulnerabilities,"Vulnerabilities in the Node.js ecosystem pose serious security threats. Generating exploits for such vulnerabilities is a critical and essential step for fixing the vulnerabilities and understanding attack vectors. To address this need, prior work has proposed a range of methods, including static analysis approaches, dynamic analysis approaches, and LLM-based techniques. However, most studies verify only at the end of execution whether the expected effect of each vulnerability has occurred. This approach does not confirm whether the exploit actually reaches the target vulnerable sinks. As a result, it may fail to exercise the intended vulnerability or inadvertently trigger a different sink.In this study, we propose a method for validating and classifying exploits related to Node.js vulnerabilities. Our method instruments sink APIs and related objects prior to execution to capture sink APIs calls and their arguments when a sink is triggered at runtime. This lets us verify that an exploit reaches the intended sink and classify exploits by the point at which the sink is triggered.",10.1109/ASE63991.2025.00390,False,The paper does not describe mining software repositories for empirical insights about software development.,False,none,The paper does not make causal claims or use causal inference methods; it focuses on proposing a verification and classification technique.,False,"The paper proposes a method for validating and classifying exploits for Node.js vulnerabilities, but the abstract does not describe an empirical evaluation or data collection/analysis effort.",yes,
ICSE 2018,From UI design image to GUI skeleton: a neural machine translator to bootstrap mobile GUI implementation,"A GUI skeleton is the starting point for implementing a UI design image. To obtain a GUI skeleton from a UI design image, developers have to visually understand UI elements and their spatial layout in the image, and then translate this understanding into proper GUI components and their compositions. Automating this visual understanding and translation would be beneficial for bootstraping mobile GUI implementation, but it is a challenging task due to the diversity of UI designs and the complexity of GUI skeletons to generate. Existing tools are rigid as they depend on heuristically-designed visual understanding and GUI generation rules. In this paper, we present a neural machine translator that combines recent advances in computer vision and machine translation for translating a UI design image into a GUI skeleton. Our translator learns to extract visual features in UI images, encode these features' spatial layouts, and generate GUI skeletons in a unified neural network framework, without requiring manual rule development. For training our translator, we develop an automated GUI exploration method to automatically collect large-scale UI data from real-world applications. We carry out extensive experiments to evaluate the accuracy, generality and usefulness of our approach.",10.1145/3180155.3180240,False,"While the paper collects UI data from real-world applications through automated GUI exploration, this is for training data collection rather than mining software repositories to discover insights about software development.",False,none,The paper does not make causal claims or use causal inference methods; it evaluates the accuracy and usefulness of the proposed translation approach.,False,"The paper proposes a neural machine translator tool for converting UI design images to GUI skeletons, with experiments evaluating the proposed approach's accuracy and usefulness, making it a technique paper with empirical evaluation rather than an empirical SE study.",yes,
ICSE 2025,Investigating the Impact of Interpersonal Challenges on Feeling Welcome in OSS,"The sustainability of open source software (OSS) projects hinges on contributor retention. Interpersonal challenges can inhibit a feeling of welcomeness among contributors, particularly from underrepresented groups, which impacts their decision to continue with the project. How much this impact is, varies among individuals, underlining the importance of a thorough understanding of their effects. Here, we investigate the effects of interpersonal challenges on the sense of welcomeness among diverse populations within OSS, through the diversity lenses of gender, race, and (dis)ability. We analyzed the large-scale Linux Foundation Diversity and Inclusion survey (n = 706) to model a theoretical framework linking interpersonal challenges with the sense of welcomeness through Structural Equation Models Partial Least Squares (PLS-SEM). We then examine the model to identify the impact of these challenges on different demographics through Multi-Group Analysis (MGA). Finally, we conducted a regression analysis to investigate how differently people from different demographics experience different types of interpersonal challenges. Our findings confirm the negative association between interpersonal challenges and the feeling of welcomeness in OSS, with this relationship being more pronounced among gender minorities and people with disabilities. We found that different challenges have unique impacts on how people feel welcomed, with variations across gender, race, and disability groups. We also provide evidence that people from gender minorities and with disabilities are more likely to experience interpersonal challenges than their counterparts, especially when we analyze stalking, sexual harassment, and doxxing. Our insights benefit OSS communities, informing potential strategies to improve the landscape of interpersonal relationships, ultimately fostering more inclusive and welcoming communities.",10.1109/ICSE55347.2025.00056,False,"The paper analyzes survey data rather than data mined from software repositories such as version control systems, issue trackers, or code review platforms.",True,both,"The paper uses Structural Equation Modeling (a method often used for causal inference) and makes causal-adjacent claims such as 'effects of interpersonal challenges on the sense of welcomeness,' 'impacts their decision to continue,' and 'different challenges have unique impacts on how people feel welcomed.'",True,"The paper analyzes survey data (n=706) from the Linux Foundation Diversity and Inclusion survey using statistical methods (PLS-SEM, Multi-Group Analysis, regression analysis) to investigate the relationship between interpersonal challenges and feelings of welcomeness in OSS.",yes,
FSE 2018,Software engineering collaboratories (SEClabs) and collaboratories as a service (CaaS),"Novel research ideas require strong evaluations. Modern software engineering research evaluation typically requires a set of benchmark programs. Open source software repositories have provided a great opportunity for researchers to find such programs for use in their evaluations. Many tools/techniques have been developed to help automate the curation of open source software. There has also been encouragement for researchers to provide their research artifacts so that other researchers can easily reproduce the results. We argue that these two trends (i.e., curating open source software for research evaluation and the providing of research artifacts) drive the need for Software Engineer Collaboratories (SEClabs). We envision research communities coming together to create SEClab instances, where research artifacts can be made publicly available to other researchers. The community can then vet such artifacts and make them available as a service, thus turning the collaboratory into a Collaboratory as a Service (CaaS). If our vision is realized, the speed and transparency of research will drastically increase.",10.1145/3236024.3264839,False,The paper discusses the use of open source repositories conceptually but does not mine or analyze data from software repositories.,False,none,The paper makes no causal claims or uses causal inference methods; it presents a vision for future infrastructure.,False,"The paper presents a vision/argument for Software Engineering Collaboratories and Collaboratories as a Service, without collecting or analyzing empirical data.",yes,
ASE 2016,Traceability maintenance: factors and guidelines,"Traceability is an important concern for numerous software engineering activities. Establishing traceability links is a challenging and cost-intensive task, which is uneconomical without suitable strategies for maintaining high link quality. Current approaches to Traceability Management (TM), however, often make important assumptions and choices without ensuring that the consequences and implications for traceability maintenance are feasible and desirable in practice.",10.1145/2970276.2970314,False,There is no mention of mining or analyzing data from software repositories.,False,none,The abstract discusses factors and guidelines but does not make explicit causal claims or use causal inference methods.,False,The abstract describes factors and guidelines for traceability maintenance but does not mention any empirical data collection or analysis methodology.,yes,
ASE 2024,Shoot Yourself in the Foot - Efficient Code Causes Inefficiency in Compiler Optimizations,"In this paper, we take a different angle to evaluate compiler opti-mizations than all existing works in compiler testing literature. In particular, we consider a specific scenario in software development, that is, when developers manually optimize a program to improve its performance, do compilers actually generate more efficient code with the help of developers’ optimizations?To answer this question, we develop a simple approach which consists of (1) deoptimizing a program into a less efficient version of the original program, and then (2) comparing the performance of the generated code from each version of the source code. We realize this approach into a tool, called de3 (detect defects with deoptimizations), and use it to evaluate GCC and LLVM, two state-of-the-art, industry compilers. We observe that the extra optimizations presented in the original programs can be not only unhelpful, but more seriously counterproductive to both GCC and LLVM, resulting in the less efficient code generated overall. Out of our evaluation results, we summarized and reported 53 LLVM and 18 GCC defects, out of which 37 and 17 have been confirmed or fixed.Our work pioneers a new pathway for evaluating compiler opti-mizations. More importantly, we expect our work to inspire new design principles for compiler development.",10.1145/3691620.3695548,False,The paper does not mine software repositories; it performs controlled experiments on compiler-generated code using a custom tool.,True,claim,"The paper makes causal claims such as 'efficient code causes inefficiency in compiler optimizations' and that developers' manual optimizations can be 'counterproductive' to compilers, implying causal effects of source-level optimizations on compiler output quality.",True,"The paper develops a tool (de3) and empirically evaluates GCC and LLVM compilers by comparing performance of generated code from optimized vs. deoptimized source programs, reporting concrete defect counts and confirmation rates.",yes,
FSE 2025,Why the Proof Fails in Different Versions of Theorem Provers: An Empirical Study of Compatibility Issues in Isabelle,"Proof assistants are software tools for formal modeling and verification of software, hardware, design, and mathematical proofs. Due to the growing complexity and scale of formal proofs, compatibility issues frequently arise when using different versions of proof assistants. These issues result in broken proofs, disrupting the maintenance of formalized theories and hindering the broader dissemination of results within the community. Although existing works have proposed techniques to address specific types of compatibility issues, the overall characteristics of these issues remain largely unexplored. To address this gap, we conduct the first extensive empirical study to characterize compatibility issues, using Isabelle as a case study. We develop a regression testing framework to automatically collect compatibility issues from the Archive of Formal Proofs, the largest repository of formal proofs in Isabelle. By analyzing 12,079 collected issues, we identify their types and symptoms and further investigate their root causes. We also extract updated proofs that address these issues to understand the applied resolution strategies. Our study provides an in-depth understanding of compatibility issues in proof assistants, offering insights that support the development of effective techniques to mitigate these issues.",10.1145/3715787,True,The paper mines the Archive of Formal Proofs (a repository of formal proofs in Isabelle) using a regression testing framework to automatically collect and analyze compatibility issues across different versions.,False,none,"The paper characterizes compatibility issues by identifying types, symptoms, root causes, and resolution strategies, but does not employ causal inference methods or make explicit causal claims beyond descriptive analysis.",True,"The paper conducts an extensive empirical study analyzing 12,079 compatibility issues collected from the Archive of Formal Proofs, characterizing their types, symptoms, root causes, and resolution strategies.",yes,
FSE 2021,Exploit those code reviews! bigger data for deeper learning,"Modern code review (MCR) processes are prevalent in most organizations that develop software due to benefits in quality assurance and knowledge transfer. With the rise of collaborative software development platforms like GitHub and Bitbucket, today, millions of projects share not only their code but also their review data. Although researchers have tried to exploit this data for more than a decade, most of that knowledge remains a buried treasure. A crucial catalyst for many advances in deep learning, however, is the accessibility of large-scale standard datasets for different learning tasks. This paper presents the ETCR (Exploit Those Code Reviews!) infrastructure for mining MCR datasets from any GitHub project practicing pull-request-based development. We demonstrate its effectiveness with ETCR-Elasticsearch, a dataset of >231𝑘 review comments for >47𝑘 Java file revisions in >40𝑘 pull-requests from the Elasticsearch project. ETCR is designed with the challenge of deep learning in mind. Compared to previous datasets, ETCR datasets include all information for linking review comments to nodes in the respective program’s Abstract Syntax Tree.",10.1145/3468264.3473110,False,"While the paper builds infrastructure for mining software repositories (GitHub pull requests and code reviews), it is a dataset/tool contribution rather than a study that analyzes repository data to discover empirical insights.",False,none,The paper does not make causal claims or use causal inference methods; it describes a dataset mining infrastructure and its features.,False,"The paper presents an infrastructure (ETCR) for mining code review datasets and demonstrates it with a dataset, but does not collect and analyze data to investigate a software engineering phenomenon or answer research questions empirically.",yes,
FSE 2018,Beyond testing configurable systems: applying variational execution to automatic program repair and higher order mutation testing,"Generate-and-validate automatic program repair and higher order mutation testing often use search-based techniques to find optimal or good enough solutions in huge search spaces. As search spaces continue to grow, finding solutions that require interactions of multiple changes can become challenging. To tackle the huge search space, we propose to use variational execution. Variational execution has been shown to be effective in exhaustively exploring variations and identifying interactions in a huge but often finite configuration space. The key idea is to encode alternatives in the search space as variations and use variational execution as a black-box technique to generate useful insights so that existing search heuristics can be informed. We show that this idea is promising and identify criteria for problems in which variational execution is a promising tool, which may be useful to identify further applications.",10.1145/3236024.3264837,False,The paper does not involve mining software repositories for empirical insights.,False,none,The paper does not make causal claims or use causal inference methods; it proposes an approach and discusses its promise.,False,"The paper proposes using variational execution as a technique for program repair and mutation testing, presenting it as a promising idea with criteria identification, but does not describe systematic empirical data collection or analysis.",yes,
ASE 2024,Understanding the Implications of Changes to Build Systems,"The maintenance of build systems imposes a considerable overhead on software development. Since automated quality assurance methods are rarely applied to build specifications, the importance of the role peer code review plays in the maintenance of build systems is amplified. Yet prior work shows that the review process for build systems suffers from a lack of build experts and effective tooling.To support the understanding of changes to build specifications (a key stage in the review process), we propose BCIA—an approach to summarize the impact of changes to build specifications across the build configuration space. BCIA traverses the paths through which data and control flow in the prior and updated versions of the build system to generate an Impact Knowledge Graph (IKG), which describes the impact of the change across the build configuration space. We develop BuiScout—a prototype implementation of BCIA for CMake-based build systems. We use BuiScout to evaluate our approach through an empirical study of 10,000 change sets that we mine from ten large open-source projects that span a total of 28 development years. Our findings indicate that BuiScout can detect an impact that propagates to unmodified parts of the build system in 77.37% of the studied change sets. These changes impact a median of 14 unmodified commands, with a median of 95.55% of the impacted commands per change set appearing in unmodified files. Our study suggests that dedicated approaches, such as BCIA, have the potential to alleviate the challenges developers face when assessing the impact of changes to build systems.",10.1145/3691620.3695514,True,The study mines change sets from software repositories of ten open-source projects spanning 28 development years to analyze the impact of changes to build specifications.,False,none,The paper describes impact propagation in build systems but does not make causal claims about software engineering phenomena or use causal inference methods.,True,"The paper conducts an empirical study of 10,000 change sets mined from ten large open-source projects to evaluate the BCIA approach, collecting and analyzing quantitative data about build system changes.",yes,
ASE 2025,Vessel: A Taxonomy of Reproducibility Issues for Container Images,"Build reproducibility of container images is essential to ensure that deployed systems will work as expected and have not been tampered with. However, bit-by-bit reproducibility of container images is almost never achievable due to external factors, and it is also very slow and labor intensive to determine the causes and severity of reproducibility failures. In this paper, we present a taxonomy of reproducibility issues for container images, as well as a tool, Vessel Diff, to help automatically categorize the type and severity of reproducibility failures in container images. We analyzed a set of open source repositories where container images are built to find common patterns and configure our tool to properly categorize failures. Our analysis shows that approximately 87% of their reproducibility failures were automatically classified by the tool according to our taxonomy. However, the vast majority of these failures were caused by trivial issues and not non-trivial issues, which could cause noticeable changes in execution of container applications and are more difficult to detect. These results highlight the need for additional research and tooling to detect, classify, and fix reproducibility issues, especially those that can lead to major failures.",10.1109/ASE63991.2025.00348,True,The paper mines open source repositories where container images are built to extract and analyze data about reproducibility failures.,False,none,The paper presents a taxonomy and classification tool but does not make causal claims or use causal inference methods.,True,"The paper analyzes a set of open source repositories to find common patterns of reproducibility failures in container images and reports quantitative results (e.g., 87% automatic classification rate).",yes,
FSE 2021,Generating metamorphic relations for cyber-physical systems with genetic programming: an industrial case study,"One of the major challenges in the verification of complex industrial Cyber-Physical Systems is the difficulty of determining whether a particular system output or behaviour is correct or not, the so-called test oracle problem. Metamorphic testing alleviates the oracle problem by reasoning on the relations that are expected to hold among multiple executions of the system under test, which are known as Metamorphic Relations (MRs). However, the development of effective MRs is often challenging and requires the involvement of domain experts. In this paper, we present a case study aiming at automating this process. To this end, we implemented GAssertMRs, a tool to automatically generate MRs with genetic programming. We assess the cost-effectiveness of this tool in the context of an industrial case study from the elevation domain. Our experimental results show that in most cases GAssertMRs outperforms the other baselines, including manually generated MRs developed with the help of domain experts. We then describe the lessons learned from our experiments and we outline the future work for the adoption of this technique by industrial practitioners.",10.1145/3468264.3473920,False,The study does not mine software repositories; it conducts experiments on a cyber-physical system in the elevation domain to evaluate automatically generated metamorphic relations.,False,none,The paper compares the performance of their tool against baselines but does not make causal claims or use causal inference methods.,True,"The paper presents an industrial case study with experimental results comparing the cost-effectiveness of their tool against baselines, collecting and analyzing quantitative data from experiments.",yes,
ASE 2022,Using Consensual Biterms from Text Structures of Requirements and Code to Improve IR-Based Traceability Recovery,"Traceability approves trace links among software artifacts based on whether two artifacts are related by system functionalities. The traces are valuable for software development, but are difficult to obtain manually. To cope with the costly and fallible manual recovery, automated approaches are proposed to recover traces through textual similarities among software artifacts, such as those based on Information Retrieval (IR). However, the low quality & quantity of artifact texts negatively impact the calculated IR values, thus greatly hindering the performance of IR-based approaches. In this study, we propose to extract co-occurred word pairs from the text structures of both requirements and code (i.e., consensual biterms) to improve IR-based traceability recovery. We first collect a set of biterms based on the part-of-speech of requirement texts, and then filter them through the code texts. We then use these consensual biterms to both enrich the input corpus for IR techniques and enhance the calculations of IR values. A nine-system-based evaluation shows that in general, when solely used to enhance IR techniques, our approach can outperform pure IR-based approaches and another baseline by 21.9% & 21.8% in AP, and 9.3% & 7.2% in MAP, respectively. Moreover, when used to collaborate with another enhancing strategy from different perspectives, it can outperform this baseline by 5.9% in AP and 4.8% in MAP.",10.1145/3551349.3556948,False,The paper does not mine software repositories for empirical insights; it uses software artifacts (requirements and code) as inputs to a proposed traceability recovery technique.,False,none,The paper does not make causal claims or use causal inference methods; it reports performance comparisons between approaches.,False,"The paper proposes a new technique (consensual biterms) to improve IR-based traceability recovery and evaluates it on nine systems, making it a technique paper with an empirical evaluation rather than a purely empirical SE study.",yes,
ASE 2022,Effectively Generating Vulnerable Transaction Sequences in Smart Contracts with Reinforcement Learning-guided Fuzzing,"As computer programs run on top of blockchain, smart contracts have proliferated a myriad of decentralized applications while bringing security vulnerabilities, which may cause huge financial losses. Thus, it is crucial and urgent to detect the vulnerabilities of smart contracts. However, existing fuzzers for smart contracts are still inefficient to detect sophisticated vulnerabilities that require specific vulnerable transaction sequences to trigger. To address this challenge, we propose a novel vulnerability-guided fuzzer based on reinforcement learning, namely RLF, for generating vulnerable transaction sequences to detect such sophisticated vulnerabilities in smart contracts. In particular, we firstly model the process of fuzzing smart contracts as a Markov decision process to construct our reinforcement learning framework. We then creatively design an appropriate reward with consideration of both vulnerability and code coverage so that it can effectively guide our fuzzer to generate specific transaction sequences to reveal vulnerabilities, especially for the vulnerabilities related to multiple functions. We conduct extensive experiments to evaluate RLF’s performance. The experimental results demonstrate that our RLF outperforms state-of-the-art vulnerability-detection tools (e.g., detecting 8%-69% more vulnerabilities within 30 minutes).",10.1145/3551349.3560429,False,The paper does not mine software repositories; it generates and analyzes transaction sequences through fuzzing of smart contracts.,False,none,The paper does not make causal claims or use causal inference methods; it compares tool performance using experimental benchmarks.,False,"The paper proposes a novel fuzzing tool (RLF) and evaluates it experimentally; this is a technique paper with an empirical evaluation, not an empirical SE study investigating software engineering phenomena.",yes,
FSE 2023,NaNofuzz: A Usable Tool for Automatic Test Generation,"In the United States alone, software testing labor is estimated to cost $48 billion USD per year. Despite widespread test execution automation and automation in other areas of software engineering, test suites continue to be created manually by software engineers. We have built a test generation tool, called NaNofuzz, that helps users find bugs in their code by suggesting tests where the output is likely indicative of a bug, e.g., that return NaN (not-a-number) values. NaNofuzz is an interactive tool embedded in a development environment to fit into the programmer's workflow. NaNofuzz tests a function with as little as one button press, analyses the program to determine inputs it should evaluate, executes the program on those inputs, and categorizes outputs to prioritize likely bugs. We conducted a randomized controlled trial with 28 professional software engineers using NaNofuzz as the intervention treatment and the popular manual testing tool, Jest, as the control treatment. Participants using NaNofuzz on average identified bugs more accurately (p < .05, by 30%), were more confident in their tests (p < .03, by 20%), and finished their tasks more quickly (p < .007, by 30%).",10.1145/3611643.3616327,False,"The study is a controlled experiment with human participants, not an analysis of data mined from software repositories.",True,both,"The randomized controlled trial is a causal inference method, and the paper makes causal claims about NaNofuzz's effects on bug identification accuracy, confidence, and task completion time.",True,The paper conducts a randomized controlled trial with 28 professional software engineers to evaluate the effectiveness of NaNofuzz compared to Jest.,yes,
ASE 2022,MalWhiteout: Reducing Label Errors in Android Malware Detection,"Machine learning based Android malware detection has attracted a great deal of research work in recent years. A reliable malware dataset is critical to evaluate the effectiveness of malware detection approaches. Unfortunately, existing malware datasets used in our community are mainly labelled by leveraging existing anti-virus services (i.e., VirusTotal), which are prone to mislabelling. This, however, would lead to the inaccurate evaluation of the malware detection techniques. Removing label noises from Android malware datasets can be quite challenging, especially at a large data scale. To address this problem, we propose an effective approach called MalWhiteout to reduce label errors in Android malware datasets. Specifically, we creatively introduce Confident Learning (CL), an advanced noise estimation approach, to the domain of Android malware detection. To combat false positives introduced by CL, we incorporate the idea of ensemble learning and inter-app relation to achieve a more robust capability in noise detection. We evaluate MalWhiteout on a curated large-scale and reliable benchmark dataset. Experimental results show that MalWhiteout is capable of detecting label noises with over 94% accuracy even at a high noise ratio (i.e., 30%) of the dataset. MalWhiteout outperforms the state-of-the-art approach in terms of both effectiveness (8% to 218% improvement) and efficiency (70 to 249 times faster) across different settings. By reducing label noises, we show that the performance of existing malware detection approaches can be improved.",10.1145/3551349.3560418,False,"While the paper works with Android malware datasets, it does not mine software repositories to discover insights about software development processes or practices; it proposes a label noise reduction technique.",False,none,The paper does not employ causal inference methods or make explicit causal claims; it describes performance improvements from reducing label noise without framing these as causal relationships.,False,The paper proposes a new technique (MalWhiteout) for reducing label errors in Android malware datasets and evaluates it experimentally; this is a tool/technique paper with an empirical evaluation rather than an empirical SE study investigating software engineering phenomena.,yes,
FSE 2022,You see what I want you to see: poisoning vulnerabilities in neural code search,"Searching and reusing code snippets from open-source software repositories based on natural-language queries can greatly improve programming productivity.Recently, deep-learning-based approaches have become increasingly popular for code search. Despite substantial progress in training accurate models of code search, the robustness of these models has received little attention so far.",10.1145/3540250.3549153,False,The paper focuses on adversarial attacks against code search models rather than mining software repositories for empirical insights about software development.,False,none,The abstract does not make explicit causal claims or mention causal inference methods; it discusses vulnerabilities and robustness of models.,False,"The paper investigates poisoning vulnerabilities in neural code search models, which is primarily a security/adversarial attack study proposing and evaluating attack techniques rather than an empirical investigation of software engineering phenomena.",yes,
FSE 2021,Unveiling multiple facets of design degradation in modern code review,"Software design is a key concern in code review through which developers actively discuss and improve each code change. Nevertheless, code review is predominantly a cooperative task influenced by both technical and social aspects. Consequently, these aspects can play a key role in how software design degrades as well as contributing to accelerating or reversing the degradation during the process of each single code change’s review. However, there is little understanding about such social and technical aspects relates to either the reduction or the increase of design degradation as the project evolves. Consequently, the scarce knowledge on this topic helps little in properly guiding developers along design-driven code reviews. Our goal in this Doctoral research is three-fold: (1) to characterize the impact of code review and their practices on design degradation over time; (2) to understand the contribution of technical and social aspects to design degradation; and (3) to propose a conceptual framework to support design-decision making during code review. Our preliminary results show that the majority of code reviews had little to no design degradation impact, and that technical and social aspects contribute to distinguishing and predicting design impactful changes.",10.1145/3468264.3473099,True,The study analyzes data extracted from code review systems to discover insights about how code review practices relate to design degradation over project evolution.,True,claim,"The paper uses causal language such as 'impact of code review on design degradation,' 'contribution of technical and social aspects to design degradation,' and 'contributing to accelerating or reversing the degradation.'",True,"The paper describes collecting and analyzing data from code reviews to characterize the impact of code review practices on design degradation, including preliminary results about technical and social aspects.",yes,
ICSE 2025,TraceFL: Interpretability-Driven Debugging in Federated Learning via Neuron Provenance,"In Federated Learning, clients train models on local data and send updates to a central server, which aggregates them into a global model using a fusion algorithm. This collaborative yet privacy-preserving training comes at a cost. FL developers face significant challenges in attributing global model predictions to specific clients. Localizing responsible clients is a crucial step towards (a) excluding clients primarily responsible for incorrect predictions and (b) encouraging clients who contributed highquality models to continue participating in the future. Existing ML debugging approaches are inherently inapplicable as they are designed for single-model, centralized training. We introduce TraceFL, a fine-grained neuron provenance capturing mechanism that identifies clients responsible for a global model's prediction by tracking the flow of information from individual clients to the global model. Since inference on different inputs activates a different set of neurons of the global model, TraceFL dynamically quantifies the significance of the global model's neurons in a given prediction, identifying the most crucial neurons in the global model. It then maps them to the corresponding neurons in every participating client to determine each client's contribution, ultimately localizing the responsible client. We evaluate TraceFL on six datasets, including two real-world medical imaging datasets and four neural networks, including advanced models such as GPT. TraceFL achieves 99% accuracy in localizing the responsible client in FL tasks spanning both image and text classification tasks. At a time when state-of-the-art ML debugging approaches are mostly domain-specific (e.g., image classification only), TraceFL is the first technique to enable highly accurate automated reasoning across a wide range of FL applications.",10.1109/ICSE55347.2025.00128,False,The paper does not mine software repositories; it evaluates a proposed technique on ML datasets in a federated learning setting.,False,none,The paper uses provenance tracking and attribution to localize responsible clients but does not employ formal causal inference methods or make explicit causal claims in the statistical sense.,False,"The paper proposes a new technique (TraceFL) for debugging in federated learning and evaluates it on multiple datasets; this is a tool/technique paper with an empirical evaluation, not a primarily empirical SE study investigating software engineering phenomena.",yes,
FSE 2017,What do software engineers care about? gaps between research and practice,"It is a cliche to say that there is a gap between research and practice. As the interest and importance in the practical impact of research has been growing, the gap between research and practice is expected to be narrowing. However, our study reveals that there still seems to be a wide gap. We survey so ware engineers about what they care about when developing so ware. We then compare our survey results with the research topics of the papers published in ICSE/FSE recently. We found the following discrepancy: while so ware engineers care more about so ware development productivity than the quality of so ware, papers on research areas closely related to so ware productivity--such as so ware development process management and so ware development techniques--are significantly less published than papers on so ware verification and validation that account for more than half of publications. We also found that so ware engineers are in great need for techniques for accurate effort estimation, and they are not necessarily knowledgable about techniques they can use to meet their needs.",10.1145/3106237.3117778,False,"The paper analyzes research publication venues (ICSE/FSE) and surveys practitioners, but does not mine software repositories such as version control, issue trackers, or code review systems.",False,none,The paper identifies discrepancies and gaps between research topics and practitioner concerns but does not make causal claims or use causal inference methods.,True,"The paper conducts a survey of software engineers and compares the results with an analysis of research topics in ICSE/FSE publications, collecting and analyzing both survey and publication data.",yes,
ASE 2019,Pangolin: An SFL-Based Toolset for Feature Localization,"Pinpointing the location where a given unit of functionality-or feature-was implemented is a demanding and time-consuming task, yet prevalent in most software maintenance or evolution efforts. To that extent, we present PANGOLIN, an Eclipse plugin that helps developers identifying features among the source code. It borrows Spectrum-based Fault Localization techniques from the software diagnosis research field by framing feature localization as a diagnostic problem. PANGOLIN prompts users to label system executions based on feature involvement, and subsequently presents its spectrum-based feature localization analysis to users with the aid of a color-coded, hierarchic, and navigable visualization which was shown to be effective at conveying diagnostic information to users. Our evaluation shows that PANGOLIN accurately pinpoints feature implementations and is resilient to misclassifications by users. The tool can be downloaded at https://tqrg.github.io/pangolin/.",10.1109/ASE.2019.00119,False,The paper does not mine software repositories; it analyzes runtime execution traces to localize features in source code.,False,none,The paper does not make causal claims or use causal inference methods; it applies spectrum-based fault localization techniques to feature localization.,False,"The paper presents a tool (PANGOLIN) with an evaluation of its accuracy and resilience, which constitutes a tool proposal with empirical evaluation rather than an empirical SE study investigating software engineering phenomena.",yes,
ICSE 2019,ReCDroid: automatically reproducing Android application crashes from bug reports,"The large demand of mobile devices creates significant concerns about the quality of mobile applications (apps). Developers heavily rely on bug reports in issue tracking systems to reproduce failures (e.g., crashes). However, the process of crash reproduction is often manually done by developers, making the resolution of bugs inefficient, especially that bug reports are often written in natural language. To improve the productivity of developers in resolving bug reports, in this paper, we introduce a novel approach, called ReCDroid, that can automatically reproduce crashes from bug reports for Android apps. ReCDroid uses a combination of natural language processing (NLP) and dynamic GUI exploration to synthesize event sequences with the goal of reproducing the reported crash. We have evaluated ReCDroid on 51 original bug reports from 33 Android apps. The results show that ReCDroid successfully reproduced 33 crashes (63.5% success rate) directly from the textual description of bug reports. A user study involving 12 participants demonstrates that ReCDroid can improve the productivity of developers when resolving crash bug reports.",10.1109/ICSE.2019.00030,False,The paper uses bug reports as input to a tool but does not mine software repositories to discover empirical insights about software development.,True,claim,"The paper claims that ReCDroid 'can improve the productivity of developers when resolving crash bug reports,' implying a causal effect of the tool on developer productivity.",False,The paper proposes a novel tool (ReCDroid) and evaluates it; the evaluation serves to validate the tool rather than to investigate a software engineering phenomenon empirically.,no,"has_causal=True ambiguous: ""can improve the productivity"" is a speculative tool claim, not an investigated SE research question"
ICSE 2023,PILAR: Studying and Mitigating the Influence of Configurations on Log Parsing,"The significance of logs has been widely acknowledged with the adoption of various log analysis techniques that assist in software engineering tasks. Many log analysis techniques require structured logs as input while raw logs are typically unstructured. Automated log parsing is proposed to convert unstructured raw logs into structured log templates. Some log parsers achieve promising accuracy, yet they rely on significant efforts from the users to tune the parameters to achieve optimal results. In this paper, we first conduct an empirical study to understand the influence of the configurable parameters of six state-of-the-art log parsers on their parsing results on three aspects: 1) varying the parameters while using the same dataset, 2) keeping the same parameters while using different datasets, and 3) using different samples from the same dataset. Our results show that all these parsers are sensitive to the parameters, posing challenges to their adoption in practice. To mitigate such challenges, we propose PILAR (Parameter Insensitive Log Parser), an entropy-based log parsing approach. We compare PILAR with the existing log parsers on the same three aspects and find that PILAR is the most parameter-insensitive one. In addition, PILAR achieves the second highest parsing accuracy and efficiency among all the state-of-the-art log parsers. This paper paves the road for easing the adoption of log analysis in software engineer practices.",10.1109/ICSE48619.2023.00077,False,"While the paper analyzes log data, it focuses on the performance of log parsing tools under different configurations rather than mining software repositories to discover insights about software development processes or practices.",True,claim,"The paper studies the 'influence of configurations on log parsing' and makes claims such as 'all these parsers are sensitive to the parameters,' implying that parameter changes cause variations in parsing results.",True,"The paper conducts an empirical study analyzing the influence of configurable parameters on six state-of-the-art log parsers across multiple datasets and conditions, collecting and analyzing quantitative data on parsing accuracy and sensitivity.",yes,
