venue,title,abstract,doi,is_msr,msr_reason,has_causal,causal_type,causal_reason,is_empirical,empirical_reason,causal_method_class,correct,reason,causal_method_class_corrected
FSE 2018,Themis: automatically testing software for discrimination,"Bias in decisions made by modern software is becoming a common and serious problem. We present Themis, an automated test suite generator to measure two types of discrimination, including causal relationships between sensitive inputs and program behavior. We explain how Themis can measure discrimination and aid its debugging, describe a set of optimizations Themis uses to reduce test suite size, and demonstrate Themis' effectiveness on open-source software. Themis is open-source and all our evaluation data are available at http://fairness.cs.umass.edu/. See a video of Themis in action: https://youtu.be/brB8wkaUesY",10.1145/3236024.3264590,False,The paper does not mine software repositories; it generates test suites to measure discrimination in software.,True,both,"The paper explicitly measures 'causal relationships between sensitive inputs and program behavior' as one of its two types of discrimination, employing causal testing methodology and making causal claims about discrimination.",False,"The paper proposes a tool (Themis) for automated testing of software discrimination and demonstrates its effectiveness, making it a tool paper with evaluation rather than a purely empirical SE study.",Causal Fault Localization,yes,,Causal Fault Localization
FSE 2019,Effects of explicit feature traceability on program comprehension,"Developers spend a substantial amount of their time with program comprehension. To improve their comprehension and refresh their memory, developers need to communicate with other developers, read the documentation, and analyze the source code. Many studies show that developers focus primarily on the source code and that small improvements can have a strong impact. As such, it is crucial to bring the code itself into a more comprehensible form. A particular technique for this purpose are explicit feature traces to easily identify a program’s functionalities. To improve our empirical understanding about the effects of feature traces, we report an online experiment with 49 professional software developers. We studied the impact of explicit feature traces, namely annotations and decomposition, on program comprehension and compared them to the same code without traces. Besides this experiment, we also asked our participants about their opinions in order to combine quantitative and qualitative data. Our results indicate that, as opposed to purely object-oriented code: (1) annotations can have positive effects on program comprehension; (2) decomposition can have a negative impact on bug localization; and (3) our participants perceive both techniques as beneficial. Moreover, none of the three code versions yields significant improvements on task completion time. Overall, our results indicate that lightweight traceability, such as using annotations, provides immediate benefits to developers during software development and maintenance without extensive training or tooling; and can improve current industrial practices that rely on heavyweight traceability tools (e.g., DOORS) and retroactive fulfillment of standards (e.g., ISO-26262, DO-178B).",10.1145/3338906.3338968,False,The study is a controlled experiment with human participants rather than an analysis of data mined from software repositories.,True,both,The paper uses a controlled experiment (a causal inference method) and makes explicit causal claims such as 'annotations can have positive effects on program comprehension' and 'decomposition can have a negative impact on bug localization.',True,"The paper reports an online controlled experiment with 49 professional software developers, collecting both quantitative and qualitative data to study the effects of feature traces on program comprehension.",Randomized Controlled Experiment; Causal Fault Localization; Regression-based Causal Inference,no,"CFL incorrect: paper studies program comprehension effects via controlled experiment, not fault localization",Randomized Controlled Experiment; Regression-based Causal Inference
FSE 2020,A randomized controlled trial on the effects of embedded computer language switching,"Polyglot programming, the use of multiple programming languages during the development process, is common practice in modern software development. This study investigates this practice through a randomized controlled trial conducted under the context of database programming. Participants in the study were given coding tasks written in Java and one of three SQL-like embedded languages. One was plain SQL in strings, one was in Java only, and the third was a hybrid embedded language that was closer to the host language. We recorded 109 valid data points. Results showed significant differences in how developers of different experience levels code using polyglot techniques. Notably, less experienced programmers wrote correct programs faster in the hybrid condition (frequent, but less severe, switches), while more experienced developers that already knew both languages performed better in traditional SQL (less frequent but more complete switches). The results indicate that the productivity impact of polyglot programming is complex and experience level dependent.",10.1145/3368089.3409701,False,"The study is a controlled experiment with human participants performing coding tasks, not an analysis of data mined from software repositories.",True,both,The paper uses a randomized controlled trial (an explicit causal inference method) and makes causal claims about the 'effects' of language switching and how polyglot programming impacts productivity differently based on experience level.,True,The paper conducts a randomized controlled trial with 109 participants to investigate the effects of embedded computer language switching on developer productivity.,Randomized Controlled Experiment; Regression-based Causal Inference,yes,,Randomized Controlled Experiment; Regression-based Causal Inference
FSE 2020,Does stress impact technical interview performance?,"Software engineering candidates commonly participate in whiteboard technical interviews as part of a hiring assessment. During these sessions, candidates write code while thinking aloud as they work towards a solution, under the watchful eye of an interviewer. While technical interviews should allow for an unbiased and inclusive assessment of problem-solving ability, surprisingly, technical interviews may be instead a procedure for identifying candidates who best handle and migrate stress solely caused by being examined by an interviewer (performance anxiety). To understand if coding interviews—as administered today—can induce stress that significantly hinders performance, we conducted a randomized controlled trial with 48 Computer Science students, comparing them in private and public whiteboard settings. We found that performance is reduced by more than half, by simply being watched by an interviewer. We also observed that stress and cognitive load were significantly higher in a traditional technical interview when compared with our private interview. Consequently, interviewers may be filtering out qualified candidates by confounding assessment of problem-solving ability with unnecessary stress. We propose interview modifications to make problem-solving assessment more equitable and inclusive, such as through private focus sessions and retrospective think-aloud, allowing companies to hire from a larger and diverse pool of talent.",10.1145/3368089.3409712,False,The study is a controlled experiment with human participants and does not mine data from software repositories.,True,both,"The paper uses a randomized controlled trial (a causal inference method) and makes causal claims such as 'coding interviews can induce stress that significantly hinders performance' and 'performance is reduced by more than half, by simply being watched by an interviewer.'",True,"The paper conducts a randomized controlled trial with 48 participants, collecting and analyzing quantitative data on performance, stress, and cognitive load in different interview settings.",Randomized Controlled Experiment,yes,,Randomized Controlled Experiment
FSE 2020,Heard it through the Gitvine: an empirical study of tool diffusion across the npm ecosystem,"Automation tools like continuous integration services, code coverage reporters, style checkers, dependency managers, etc. are all known to provide significant improvements in developer productivity and software quality. Some of these tools are widespread, others are not. How do these automation ""best practices"" spread? And how might we facilitate the diffusion process for those that have seen slower adoption? In this paper, we rely on a recent innovation in transparency on code hosting platforms like GitHub---the use of repository badges---to track how automation tools spread in open-source ecosystems through different social and technical mechanisms over time. Using a large longitudinal data set, multivariate network science techniques, and survival analysis, we study which socio-technical factors can best explain the observed diffusion process of a number of popular automation tools. Our results show that factors such as social exposure, competition, and observability affect the adoption of tools significantly, and they provide a roadmap for software engineers and researchers seeking to propagate best practices and tools.",10.1145/3368089.3409705,True,"The paper mines GitHub repositories (repository badges, social and technical networks) and the npm ecosystem to extract data about tool adoption and diffusion processes.",True,both,"The paper uses survival analysis to study which socio-technical factors explain tool adoption and makes causal claims such as 'social exposure, competition, and observability affect the adoption of tools significantly,' implying causal effects of these factors on diffusion.",True,"The paper conducts a large-scale empirical study using longitudinal data, multivariate network science techniques, and survival analysis to investigate how automation tools spread across the npm ecosystem.",Survival / Hazard Modeling; Regression-based Causal Inference,yes,,Survival / Hazard Modeling; Regression-based Causal Inference
FSE 2020,Reducing implicit gender biases in software development: does intergroup contact theory work?,"The software development profession suffers from severe gender biases, which could be explicit and implicit. However, SE literature has not systematically explored and evaluated the methods for reducing gender biases, especially for implicit gender biases. This paper reports on a field experiment to examine whether the intergroup contact theory could reduce implicit gender biases in software development. In the field experiment, 280 undergraduate students taking a project-centric introductory software engineering course were assigned to 70 teams with different contact configurations. We measured and compared their explicit and implicit gender biases before and after contacts in their teams. The study yields a rich set of findings. First, we confirmed the positive effects of intergroup contact theory in reducing gender biases, particularly the implicit gender biases in both general and SE-specific contexts. We further revealed that such effects were subjected to different contact configurations. The intergroup contact theory's effects were maximized in teams where the number of females is greater than or equal to the number of males. When the female is the minority group in a team, contacts among members contribute to reducing male members' implicit gender biases but fail to result in the same scale of effects on female members' implicit gender biases. The findings provide insights into using intergroup contact theory in reducing implicit gender biases in software development contexts.",10.1145/3368089.3409762,False,"The study is a field experiment measuring gender biases via surveys/tests, not mining data from software repositories.",True,both,"The paper uses a field experiment (a causal inference method) to examine whether intergroup contact reduces implicit gender biases, and makes causal claims such as 'positive effects of intergroup contact theory in reducing gender biases' and 'contacts among members contribute to reducing male members' implicit gender biases.'",True,"The paper reports a field experiment with 280 undergraduate students, collecting and analyzing quantitative data on explicit and implicit gender biases before and after an intervention.",Randomized Controlled Experiment,yes,,Randomized Controlled Experiment
FSE 2021,To read or to rotate? comparing the effects of technical reading training and spatial skills training on novice programming ability,"Understanding how to best support and train novice programmers is a critical component of producing better and more diverse software engineers. In this paper, we present the results of a controlled 11-week longitudinal study with 57 CS1 students comparing two skill-based interventions to improve programming performance. The first intervention involves spatial training, an established baseline known to be helpful in engineering contexts. The second intervention is a novel CS-focused technical reading training. In our reading training, we teach strategies for summarizing scientific papers and understanding scientific charts and figures; most of the covered readings were CS1-accessible portions of computer science research papers. For the spatial training, we use a standardized training curriculum previously found to improve programming skills by focusing on spatial ability (i.e., the ability to mentally manipulate objects). We first replicate findings that both reading ability and spatial ability correlate with programming success. Significantly, however, we find that those in our reading training exhibit larger programming ability gains than those in the standard spatial training (p = 0.02, f2=0.10). We also find that reading trained participants perform particularly well on programming problems that require tracing through code (p = 0.03, f2=0.10). Our results suggest that technical reading training could be beneficial for novice programmers. Finally, we discuss the implications of our results for future CS1 interventions, the possibility for non-programming based training to positively impact developers, and future directions for software engineering education research.",10.1145/3468264.3468583,False,The study is a controlled experiment with human participants and does not involve mining software repositories.,True,both,The paper uses a controlled experimental design (a causal inference method) and makes causal claims such as 'reading training could be beneficial for novice programmers' and discusses the 'effects' of training on programming ability.,True,"The paper presents a controlled 11-week longitudinal study with 57 CS1 students, collecting and analyzing quantitative data to compare two interventions' effects on programming performance.",Randomized Controlled Experiment,yes,,Randomized Controlled Experiment
FSE 2021,Swarmbug: debugging configuration bugs in swarm robotics,"Swarm robotics collectively solve problems that are challenging for individual robots, from environmental monitoring to entertainment. The algorithms enabling swarms allow individual robots of the swarm to plan, share, and coordinate their trajectories and tasks to achieve a common goal. Such algorithms rely on a large number of configurable parameters that can be tailored to target particular scenarios. This large configuration space, the complexity of the algorithms, and the dependencies with the robots’ setup and performance make debugging and fixing swarms configuration bugs extremely challenging. This paper proposes Swarmbug, a swarm debugging system that automatically diagnoses and fixes buggy behaviors caused by misconfiguration. The essence of Swarmbug is the novel concept called the degree of causal contribution (Dcc), which abstracts impacts of environment configurations (e.g., obstacles) to the drones in a swarm via behavior causal analysis. Swarmbug automatically generates, validates, and ranks fixes for configuration bugs. We evaluate Swarmbug on four diverse swarm algorithms. Swarmbug successfully fixes four configuration bugs in the evaluated algorithms, showing that it is generic and effective. We also conduct a real-world experiment with physical drones to show the Swarmbug’s fix is effective in the real-world.",10.1145/3468264.3468601,False,The paper does not mine software repositories; it evaluates a debugging system on swarm robotics algorithms.,True,method,"The paper introduces the 'degree of causal contribution (Dcc)' concept based on 'behavior causal analysis' to diagnose configuration bugs, which is an explicit causal inference method.",False,"The paper proposes a new debugging tool (Swarmbug) and evaluates it on swarm algorithms, making it a tool/technique paper with an empirical evaluation rather than a primarily empirical SE study.",Causal Fault Localization,yes,,Causal Fault Localization
FSE 2021,Fair preprocessing: towards understanding compositional fairness of data transformers in machine learning pipeline,"In recent years, many incidents have been reported where machine learning models exhibited discrimination among people based on race, sex, age, etc. Research has been conducted to measure and mitigate unfairness in machine learning models. For a machine learning task, it is a common practice to build a pipeline that includes an ordered set of data preprocessing stages followed by a classifier. However, most of the research on fairness has considered a single classifier based prediction task. What are the fairness impacts of the preprocessing stages in machine learning pipeline? Furthermore, studies showed that often the root cause of unfairness is ingrained in the data itself, rather than the model. But no research has been conducted to measure the unfairness caused by a specific transformation made in the data preprocessing stage. In this paper, we introduced the causal method of fairness to reason about the fairness impact of data preprocessing stages in ML pipeline. We leveraged existing metrics to define the fairness measures of the stages. Then we conducted a detailed fairness evaluation of the preprocessing stages in 37 pipelines collected from three different sources. Our results show that certain data transformers are causing the model to exhibit unfairness. We identified a number of fairness patterns in several categories of data transformers. Finally, we showed how the local fairness of a preprocessing stage composes in the global fairness of the pipeline. We used the fairness composition to choose appropriate downstream transformer that mitigates unfairness in the machine learning pipeline.",10.1145/3468264.3468536,False,"While the paper collects pipelines from multiple sources, it analyzes ML pipeline fairness properties rather than mining software repositories for insights about software development processes.",True,both,The paper explicitly introduces a 'causal method of fairness' to reason about fairness impacts and makes causal claims such as 'certain data transformers are causing the model to exhibit unfairness.',True,"The paper conducts a detailed fairness evaluation of preprocessing stages in 37 pipelines collected from three different sources, analyzing data to discover fairness patterns.",Causal Fault Localization; Regression-based Causal Inference,yes,,Causal Fault Localization; Regression-based Causal Inference
FSE 2022,Adaptive fairness improvement based on causality analysis,"Given a discriminating neural network, the problem of fairness improvement is to systematically reduce discrimination without significantly scarifies its performance (i.e., accuracy). Multiple categories of fairness improving methods have been proposed for neural networks, including pre-processing, in-processing and post-processing. Our empirical study however shows that these methods are not always effective (e.g., they may improve fairness by paying the price of huge accuracy drop) or even not helpful (e.g., they may even worsen both fairness and accuracy). In this work, we propose an approach which adaptively chooses the fairness improving method based on causality analysis. That is, we choose the method based on how the neurons and attributes responsible for unfairness are distributed among the input attributes and the hidden neurons. Our experimental evaluation shows that our approach is effective (i.e., always identify the best fairness improving method) and efficient (i.e., with an average time overhead of 5 minutes).",10.1145/3540250.3549103,False,The paper does not mine software repositories; it focuses on analyzing and improving fairness in neural networks through experimentation.,True,method,"The paper explicitly proposes an approach based on causality analysis to determine how neurons and attributes responsible for unfairness are distributed, using causal reasoning to adaptively select fairness improvement methods.",True,"The paper conducts an empirical study comparing fairness improving methods and experimentally evaluates their proposed approach on neural networks, collecting and analyzing performance data.",Causal Fault Localization,yes,,Causal Fault Localization
FSE 2022,First come first served: the impact of file position on code review,"The most popular code review tools (e.g., Gerrit and GitHub) present the files to review sorted in alphabetical order. Could this choice or, more generally, the relative position in which a file is presented bias the outcome of code reviews? We investigate this hypothesis by triangulating complementary evidence in a two-step study. First, we observe developers’ code review activity. We analyze the review comments pertaining to 219,476 Pull Requests (PRs) from 138 popular Java projects on GitHub. We found files shown earlier in a PR to receive more comments than files shown later, also when controlling for possible confounding factors: e.g., the presence of discussion threads or the lines added in a file. Second, we measure the impact of file position on defect finding in code review. Recruit- ing 106 participants, we conduct an online controlled experiment in which we measure participants’ performance in detecting two unrelated defects seeded into two different files. Participants are assigned to one of two treatments in which the position of the defective files is switched. For one type of defect, participants are not affected by its file’s position; for the other, they have 64% lower odds to identify it when its file is last as opposed to first. Overall, our findings provide evidence that the relative position in which files are presented has an impact on code reviews’ outcome; we discuss these results and implications for tool design and code review.",10.1145/3540250.3549177,True,"The first part of the study mines review comments from 219,476 Pull Requests across 138 GitHub Java projects, analyzing data extracted from a code review platform (GitHub).",True,both,"The paper explicitly uses causal language ('the impact of file position'), controls for confounding factors in the observational study, and conducts a controlled experiment to measure the causal effect of file position on defect finding, reporting odds ratios (64% lower odds).",True,"The paper conducts both a large-scale observational study of 219,476 pull requests and a controlled experiment with 106 participants to investigate the impact of file position on code review outcomes.",Randomized Controlled Experiment; Causal Fault Localization; Regression-based Causal Inference,no,"CFL questionable: paper studies code review bias from file positioning via RCT, not software fault localization",Randomized Controlled Experiment; Regression-based Causal Inference
FSE 2022,Do bugs lead to unnaturalness of source code?,"Texts in natural languages are highly repetitive and predictable because of the naturalness of natural languages. Recent research validated that source code in programming languages is also repetitive and predictable, and naturalness is an inherent property of source code. It was also reported that buggy code is significantly less natural than bug-free one, and bug fixing substantially improves the naturalness of the involved source code. In this paper, we revisit the naturalness of buggy code and investigate the effect of bug-fixing on the naturalness of source code. Different from the existing investigation, we leverage two large-scale and high-quality bug repositories where bug-irrelevant changes in bug-fixing commits have been explicitly excluded. Our evaluation results confirm that buggy lines are often less natural than bug-free ones. However, fixing bugs could not significantly improve the naturalness of involved code lines. Fixed lines on average are as unnatural as buggy ones. Consequently, bugs are not the root cause of the unnaturalness of source code, and it could be inaccurate to identify buggy code lines solely by the naturalness of source code. Our evaluation results suggest that the naturalness-based buggy line detection results in extremely low precision (less than one percentage).",10.1145/3540250.3549149,True,"The paper mines large-scale bug repositories to analyze the naturalness of source code in buggy and fixed versions, extracting data from bug-fixing commits.",True,both,"The paper explicitly investigates whether bugs are 'the root cause of the unnaturalness of source code' and asks 'Do bugs lead to unnaturalness,' making causal claims, and uses controlled comparisons (bug-fixing commits with bug-irrelevant changes excluded) to assess the causal effect of bug-fixing on naturalness.",True,"The paper conducts an empirical investigation analyzing the naturalness of buggy vs. bug-free code using two large-scale bug repositories, collecting and analyzing quantitative data about code naturalness.",Causal Fault Localization; Regression-based Causal Inference,no,"CFL questionable: paper studies whether bugs cause code unnaturalness (reverse direction from localization), not localizing faults using causal methods",Regression-based Causal Inference
FSE 2022,What improves developer productivity at google? code quality,"Understanding what affects software developer productivity can help organizations choose wise investments in their technical and social environment. But the research literature either focuses on what correlates with developer productivity in ecologically valid settings or focuses on what causes developer productivity in highly constrained settings. In this paper, we bridge the gap by studying software developers at Google through two analyses. In the first analysis, we use panel data with 39 productivity factors, finding that code quality, technical debt, infrastructure tools and support, team communication, goals and priorities, and organizational change and process are all causally linked to self-reported developer productivity. In the second analysis, we use a lagged panel analysis to strengthen our causal claims. We find that increases in perceived code quality tend to be followed by increased perceived developer productivity, but not vice versa, providing the strongest evidence to date that code quality affects individual developer productivity.",10.1145/3540250.3558940,False,The study uses survey/panel data from developers rather than mining software repositories such as version control or issue trackers.,True,both,The paper explicitly uses causal inference methods (panel data analysis and lagged panel analysis to strengthen causal claims) and makes causal claims such as 'code quality affects individual developer productivity' and factors being 'causally linked' to productivity.,True,"The paper collects and analyzes panel data from software developers at Google, studying 39 productivity factors through quantitative analyses.",Quasi-/Natural Experiment,yes,,Quasi-/Natural Experiment
FSE 2022,Workgraph: personal focus vs. interruption for engineers at Meta,"All engineers dislike interruptions because it takes away from the deep focus time needed to write complex code. Our goal is to reduce unnecessary interruptions at . We first describe our Workgraph platform that logs how engineers use our internal work tools at . Using these anonymized logs, we create sessions. sessions are defined in opposition to interruption and are the amount of time until the engineer is interrupted by, for example, a work chat message. We describe descriptive statistics related to how long engineers are able to focus. We find that at Meta, Engineers have a total of 14.25 hours of personal-focus time per week. These numbers are comparable with those reported by other software firms. We then create a Random Forest model to understand which factors influence the median daily personal-focus time. We find that the more time an engineer spends in the IDE the longer their focus. We also find that the more central an engineer is in the social work network, the shorter their personal-focus time. Other factors such as role and domain/pillar have little impact on personal-focus at Meta. To help engineers achieve longer blocks of personal-focus and help them stay in flow, Meta developed the AutoFocus tool that blocks work chat notifications when an engineer is working on code for 12 minutes or longer. AutoFocus allows the sender to still force a work chat message using “@notify” ensuring that urgent messages still get through, but allowing the sender to reflect on the importance of the message. In a large experiment, we find that AutoFocus increases the amount of personal-focus time by 20.27%, and it has now been rolled out widely at Meta.",10.1145/3540250.3558961,True,"The paper mines anonymized logs from internal work tools (IDE usage, work chat, etc.) to create sessions and analyze engineers' focus and interruption patterns.",True,both,"The paper uses a large experiment (implying causal inference) to evaluate AutoFocus and makes causal claims such as 'AutoFocus increases the amount of personal-focus time by 20.27%' and 'the more central an engineer is in the social work network, the shorter their personal-focus time.'",True,"The paper collects and analyzes data from engineers' tool usage logs at Meta, computes descriptive statistics, builds a Random Forest model, and conducts a large experiment to evaluate the AutoFocus tool.",Randomized Controlled Experiment; Regression-based Causal Inference,yes,,Randomized Controlled Experiment; Regression-based Causal Inference
FSE 2022,Discovering feature flag interdependencies in Microsoft office,"Feature flags are a popular method to control functionality in released code. They enable rapid development and deployment, but can also quickly accumulate technical debt. Complex interactions between feature flags can go unnoticed, especially if interdependent flags are located far apart in the code, and these unknown dependencies could become a source of serious bugs. Testing all possible combinations of feature flags is infeasible in large systems like Microsoft Office, which has about 12000 active flags. The goal of our research is to aid product teams in improving system reliability by providing an approach to automatically discover feature flag interdependencies. We use probabilistic reasoning to infer causal relationships from feature flag query logs. Our approach is language-agnostic, scales easily to large heterogeneous codebases, and is robust against noise such as code drift or imperfect log data. We evaluated our approach on real-world query logs from Microsoft Office and are able to achieve over 90% precision while recalling non-trivial indirect feature flag relationships across different source files. We also investigated re-occurring patterns of relationships and describe applications for targeted testing, determining deployment velocity, error mitigation, and diagnostics.",10.1145/3540250.3558942,True,"The paper mines feature flag query logs from Microsoft Office's codebase and deployment infrastructure to discover interdependencies, which constitutes mining software repositories.",True,both,"The paper explicitly uses probabilistic reasoning to 'infer causal relationships from feature flag query logs,' employing a causal inference method and making causal claims about feature flag interdependencies.",True,The paper collects and analyzes real-world feature flag query logs from Microsoft Office to evaluate their approach for discovering feature flag interdependencies.,Causal Discovery,yes,,Causal Discovery
FSE 2023,NaNofuzz: A Usable Tool for Automatic Test Generation,"In the United States alone, software testing labor is estimated to cost $48 billion USD per year. Despite widespread test execution automation and automation in other areas of software engineering, test suites continue to be created manually by software engineers. We have built a test generation tool, called NaNofuzz, that helps users find bugs in their code by suggesting tests where the output is likely indicative of a bug, e.g., that return NaN (not-a-number) values. NaNofuzz is an interactive tool embedded in a development environment to fit into the programmer's workflow. NaNofuzz tests a function with as little as one button press, analyses the program to determine inputs it should evaluate, executes the program on those inputs, and categorizes outputs to prioritize likely bugs. We conducted a randomized controlled trial with 28 professional software engineers using NaNofuzz as the intervention treatment and the popular manual testing tool, Jest, as the control treatment. Participants using NaNofuzz on average identified bugs more accurately (p < .05, by 30%), were more confident in their tests (p < .03, by 20%), and finished their tasks more quickly (p < .007, by 30%).",10.1145/3611643.3616327,False,"The study is a controlled experiment with human participants, not an analysis of data mined from software repositories.",True,both,"The randomized controlled trial is a causal inference method, and the paper makes causal claims about NaNofuzz's effects on bug identification accuracy, confidence, and task completion time.",True,The paper conducts a randomized controlled trial with 28 professional software engineers to evaluate the effectiveness of NaNofuzz compared to Jest.,Randomized Controlled Experiment; Causal Fault Localization,no,CFL incorrect: paper evaluates a test generation tool via RCT; no causal fault localization component (RCT label is correct),Randomized Controlled Experiment
FSE 2023,"TraceDiag: Adaptive, Interpretable, and Efficient Root Cause Analysis on Large-Scale Microservice Systems","Root Cause Analysis (RCA) is becoming increasingly crucial for ensuring the reliability of microservice systems. However, performing RCA on modern microservice systems can be challenging due to their large scale, as they usually comprise hundreds of components, leading significant human effort. This paper proposes TraceDiag, an end-to-end RCA framework that addresses the challenges for large-scale microservice systems. It leverages reinforcement learning to learn a pruning policy for the service dependency graph to automatically eliminates redundant components, thereby significantly improving the RCA efficiency. The learned pruning policy is interpretable and fully adaptive to new RCA instances. With the pruned graph, a causal-based method can be executed with high accuracy and efficiency. The proposed TraceDiag framework is evaluated on real data traces collected from the Microsoft Exchange system, and demonstrates superior performance compared to state-of-the-art RCA approaches. Notably, TraceDiag has been integrated as a critical component in the Microsoft M365 Exchange, resulting in a significant improvement in the system's reliability and a considerable reduction in the human effort required for RCA.",10.1145/3611643.3613864,False,"While the paper uses real data traces from Microsoft Exchange, it is not mining software repositories to discover empirical insights; rather, it uses operational traces to evaluate a proposed tool/framework.",True,method,"The paper explicitly uses a 'causal-based method' as part of its RCA framework and performs root cause analysis, which inherently involves causal reasoning about which components cause failures.",False,"The paper proposes a new RCA framework (TraceDiag) and evaluates it on real data, making it a technique paper with empirical evaluation rather than a purely empirical SE study investigating software engineering phenomena.",Causal Fault Localization,yes,,Causal Fault Localization
FSE 2023,MuRS: Mutant Ranking and Suppression using Identifier Templates,"Diff-based mutation testing is a mutation testing approach that only mutates lines affected by a code change under review. This approach scales independently of the code-base size and introduces test goals (mutants) that are directly relevant to an engineer’s goal such as fixing a bug, adding a new feature, or refactoring existing functionality. Google’s mutation testing service integrates diff-based mutation testing into the code review process and continuously gathers developer feedback on mutants surfaced during code review. To enhance the developer experience, the mutation testing service uses a number of manually-written rules that suppress not-useful mutants—mutants that have consistently received negative developer feedback. However, while effective, manually implementing suppression rules requires significant engineering time. This paper proposes and evaluates MuRS, an automated approach that groups mutants by patterns in the source code under test and uses these patterns to rank and suppress future mutants based on historical developer feedback on mutants in the same group. To evaluate MuRS, we conducted an A/B testing study, comparing MuRS to the existing mutation testing service. Despite the strong baseline, which uses manually-written suppression rules, the results show a statistically significantly lower negative feedback ratio of 11.45% for MuRS versus 12.41% for the baseline. The results also show that MuRS is able to recover existing suppression rules implemented in the baseline. Finally, the results show that statement-deletion mutant groups received both the most positive and negative developer feedback, suggesting a need for additional context that can distinguish between useful and not-useful mutants in these groups. Overall, MuRS is able to recover existing suppression rules and automatically learn additional, finer-grained suppression rules from developer feedback.",10.1145/3611643.3613901,False,"While the study uses historical developer feedback data from Google's code review process, it is primarily an A/B experiment evaluating a mutation testing approach rather than mining software repositories to discover insights about development processes.",True,method,"The paper uses A/B testing (a randomized controlled experiment), which is a causal inference method, to compare the effect of MuRS versus the baseline on developer feedback ratios.",True,"The paper conducts an A/B testing study at Google comparing MuRS to an existing baseline, collecting and analyzing quantitative developer feedback data to evaluate the approach.",Randomized Controlled Experiment,yes,,Randomized Controlled Experiment
FSE 2023,Do All Software Projects Die When Not Maintained? Analyzing Developer Maintenance to Predict OSS Usage,"Abstract: Past research suggests software should be continuously maintained in order to remain useful in our digital society. To determine whether these studies on software evolution are supported in modern-day software libraries, we conduct a natural experiment on 26,050 GitHub repositories, statistically modeling library usage based on their package-level downloads against different factors related to project maintenance.",10.1145/3611643.3617849,True,The paper mines data from GitHub repositories and package-level downloads to analyze the relationship between project maintenance and library usage.,True,both,"The paper explicitly describes conducting a 'natural experiment' (a causal inference method) and frames the research as predicting/determining the effect of developer maintenance on OSS usage, implying causal claims.",True,"The paper conducts a natural experiment on 26,050 GitHub repositories, statistically modeling library usage against maintenance factors, which constitutes empirical data collection and analysis.",Quasi-/Natural Experiment; Regression-based Causal Inference,yes,,Quasi-/Natural Experiment; Regression-based Causal Inference
FSE 2024,DeciX: Explain Deep Learning Based Code Generation Applications,"Deep learning-based code generation (DL-CG) applications have shown great potential for assisting developers in programming with human-competitive accuracy. However, lacking transparency in such applications due to the uninterpretable nature of deep learning models makes the automatically generated programs untrustworthy. In this paper, we develop DeciX, a first explanation method dedicated to DL-CG applications. DeciX is motivated by observing two unique properties of DL-CG applications: output-to-output dependencies and irrelevant value and semantic space. These properties violate the fundamental assumptions made in existing explainable DL techniques and thus cause applying existing techniques to DL-CG applications rather pessimistic and even incorrect. DeciX addresses these two limitations by constructing a causal inference dependency graph, containing a novel method leveraging causal inference that can accurately quantify the contribution of each dependency edge in the graph to the end prediction result. Proved by extensive experiments assessing popular, widely-used DL-CG applications and several baseline methods, DeciX is able to achieve significantly better performance compared to state-of-the-art in terms of several critical performance metrics, including correctness, succinctness, stability, and overhead. Furthermore, DeciX can be applied to practical scenarios since it does not require any knowledge of the DL-CG model under explanation. We have also conducted case studies that demonstrate the applicability of DeciX in practice.",10.1145/3660814,False,The paper does not mine software repositories; it develops and evaluates an explainability technique for DL-based code generation models.,True,method,"The paper explicitly uses causal inference as a core component of its method, constructing a 'causal inference dependency graph' and leveraging causal inference to quantify contributions of dependency edges.",False,"The paper proposes a new explanation method (DeciX) for deep learning-based code generation applications and evaluates it experimentally, making it a technique paper with empirical evaluation rather than an empirical SE paper.",Causal Graph / DAG; Causal Fault Localization,yes,,Causal Graph / DAG; Causal Fault Localization
